ID	Positive_score	Negative_score	Content
192	1	0	RT @Avengers: In two weeks, be a part of the legacy. See Marvel Studios' "Avengers​: #InfinityWar" in theaters April 27. Get tickets now: h…
193	1	0	RT @Marvel: “Nothing lasts forever.” Marvel Studios' @Avengers: #InfinityWar comes to theaters April 27. #BlackWidow https://t.co/kKEigiP92H
194	1	0	RT @MarvelStudios: In 10 Days destiny arrives. Get your tickets to @Avengers: #InfinityWar now: https://t.co/xQsJem15EU https://t.co/7vcnwi…
195	1	0	RT @MarvelStudios: In 10 Days destiny arrives. Get your tickets to @Avengers: #InfinityWar now: https://t.co/xQsJem15EU https://t.co/7vcnwi…
196	2	0	RT @Marvel: In ten days, destiny arrives. Get your tickets to Marvel Studios' @Avengers: #InfinityWar now: https://t.co/UiS1rbHQrS https://…
197	1	0	RT @Iron_Man: It’s all been leading to this. @Avengers: #InfinityWar #IronMan https://t.co/rzQGhDBr3j
198	3	0	RT @alexleo2807: Marvel. @RobertDowneyJr if you ever come by this tweet... I love you, we all love you... continue being you &amp; we, your fan…
199	1	0	RT @MarvelStudios: Everything you know. Everything you love. Tell us how you started your journey through the MCU! Tweet with #Avengers + #…
200	0	0	@MarvelStudios @Marvel My journey started when I was 7 and my mom took me to see the first iron man movie. I've bee… https://t.co/41bPhBDujP
201	2	0	RT @theblackpanther: In ten days, destiny arrives. Get your tickets to Marvel Studios' @Avengers: #InfinityWar now: https://t.co/4vH4cuj2ZU…
202	0	1	10. fucking. days. #InfinityWar
203	0	0	RT @GeeksOfColor: Check out this new 'Avengers: Infinity War' poster for Moviebill! #InfinityWar https://t.co/qTAJHqo7Wt
204	1	0	RT @Marvel: It’s all been leading to this. @Avengers: #InfinityWar #Gamora https://t.co/pwX3pJ3FzP
205	0	0	RT @Marvel: Assemble the sweetest breakfast on Earth with these @Avengers-inspired Toaster Tarts! Get the recipe here: https://t.co/J4jmlS1…
206	1	0	@MarvelStudios #avengers #infinitywar the first marvel movie I saw in theaters was either Thor or captain America the first avenger.
207	0	0	An entire universe. Once and for all #Avengers #InfinityWar
208	0	0	@MarvelStudios I can not wait for this movie, been binge watching everything! #avengers #InfinityWar
209	2	0	RT @Avengers: In ten days, destiny arrives. Get your tickets to Marvel Studios' "Avengers: #InfinityWar" now: https://t.co/kctg8VkHan https…
210	0	0	@MarvelStudios Comic books since I was kid; Iron Man Opening night &amp; every premiere since. #avengers + #infinitywar
211	1	0	RT @MarvelStudios: In 10 Days destiny arrives. Get your tickets to @Avengers: #InfinityWar now: https://t.co/xQsJem15EU https://t.co/7vcnwi…
212	1	0	RT @MarvelStudios: Everything you know. Everything you love. Tell us how you started your journey through the MCU! Tweet with #Avengers + #…
213	1	0	@MarvelStudios Right at the beginning going to the cinema to watch Iron Man
#Avengers + #InfinityWar
214	1	0	RT @MarvelStudios: In 10 Days destiny arrives. Get your tickets to @Avengers: #InfinityWar now: https://t.co/xQsJem15EU https://t.co/7vcnwi…
215	0	0	RT @GeeksOfColor: Check out this new 'Avengers: Infinity War' poster for Moviebill! #InfinityWar https://t.co/qTAJHqo7Wt
216	0	0	An entire universe. Once and for all #Avengers #InfinityWar
217	2	0	RT @Avengers: In ten days, destiny arrives. Get your tickets to Marvel Studios' "Avengers: #InfinityWar" now: https://t.co/kctg8VkHan https…
